HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10755000,36.37004,1,1,3.0,1994,1,2,,1.0,93.67,,1,1,,3.0,,2,1,2,3,3,1,3,3,300.0,2,,2,2,2,2,6091.59,5661.55,5661.55,1244.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,176.0,0,0,254.04,0,0.0,8,6,1
10755200,109.56688,4,1,1.0,1985,2,1,,1.0,40.98,,1,1,,3.0,,2,2,2,2,3,1,3,2,500.0,1,,2,2,2,2,3312.83,3312.83,3301.08,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10755500,98.75145,4,1,3.0,1990,2,1,,100.0,146.0,,1,1,,3.0,,1,1,1,3,1,1,1,3,800.0,1,,2,1,2,2,5526.34,4800.0,4800.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,726.34,0,0.0,8,6,1
10755900,41.05415,4,1,4.0,1996,2,1,,35.0,100.0,,1,1,,3.0,,2,2,2,2,1,1,3,2,1200.0,1,,2,2,2,2,7366.04,7366.04,7366.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10756000,214.76147,4,5,3.0,2009,2,1,,35.0,100.0,,1,1,,3.0,,1,1,1,1,1,1,1,4,1000.0,2,,2,2,2,2,21265.44,19846.67,18111.29,18111.29,0.0,0.0,1735.38,1608.92,0.0,0.0,0,0,3.75,3.75,0,0.0,0.0,19.0,0,840,1399.77,-253,0.0,8,6,1
10756100,153.96507,2,1,3.0,2000,1,1,,50.0,68.75,,1,1,,3.0,,1,1,1,3,3,1,3,3,600.0,2,,2,2,2,2,10429.52,8934.36,8508.15,5669.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,5.0,0,0,1490.16,0,68.22,8,6,1
10756200,147.12924,4,1,1.0,1979,2,1,,20.0,48.0,,1,1,,3.0,,2,1,2,3,1,1,3,3,350.0,2,,2,2,1,2,6046.58,6046.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10756300,39.80455,4,2,3.0,2010,2,1,,35.0,115.92,45.0,1,1,3.0,3.0,3.0,1,1,2,1,1,1,3,2,725.0,1,1.0,2,2,1,2,9732.1,7615.88,7615.88,7615.88,0.0,0.0,0.0,0.0,0.0,0.0,0,240,0.0,0.0,540,0.0,0.0,0.0,0,0,2116.22,-40,0.0,8,6,1
10756400,120.65427,4,1,2.0,2008,2,1,,30.0,103.0,,1,1,,3.0,3.0,2,2,2,2,1,1,1,2,600.0,1,1.0,2,2,1,1,4296.33,3752.38,3565.01,3565.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,543.95,0,0.0,8,6,1
10756900,56.69205,4,1,3.0,1996,1,2,,25.0,55.92,,1,1,,3.0,,1,1,2,3,1,1,1,3,700.0,2,,2,2,2,2,3316.63,2993.0,2993.0,2993.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,7.0,0,0,316.63,0,0.0,8,6,1
10757000,34.0982,3,1,2.0,1992,2,1,,50.0,61.25,,1,1,,3.0,,2,1,2,2,1,1,1,4,1000.0,3,,2,1,1,2,16289.77,12820.82,12820.82,12820.82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.290000000000001,7.290000000000001,0,0.0,0.0,10.0,0,0,3458.95,-30,0.0,8,6,1
10757100,300.74449,4,5,3.0,2013,2,2,,35.0,60.0,,1,1,,3.0,,1,1,1,1,1,1,3,3,700.0,2,,2,2,2,2,10814.59,8249.99,8249.99,8249.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,2564.6,0,0.0,8,6,1
10757200,43.49939,1,1,4.0,2008,2,1,,1.0,158.32999999999998,,1,1,,3.0,,1,1,1,3,1,1,1,3,1800.0,2,,2,2,2,2,47932.11,44218.34,44218.34,44218.34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,126.0,0,0,3587.77,-104,0.0,8,6,1
10757400,127.02118,4,1,3.0,1989,2,1,,45.0,114.0,,1,1,,3.0,3.0,1,1,1,1,1,1,1,3,500.0,2,2.0,2,2,1,2,12189.24,9183.27,9183.27,9183.27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,3005.97,-1,0.0,8,6,1
10757700,45.69773,4,1,3.0,1981,2,1,,50.0,58.83,,1,1,,3.0,,2,1,2,2,1,1,2,3,800.0,1,,2,2,2,2,4564.81,3725.98,3725.98,3725.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,838.83,0,0.0,8,6,1
