HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
40284200,299.95973,2,1,3.0,2003,2,1,,1.0,65.16,,1,1,,3.0,,2,1,2,2,1,3,2,1000.0,2,,2,2,2,2,4357.6,4357.6,0.0,0.0,0.0,0.0,3898.94,3898.94,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,7,2
40284300,188.51169,2,5,3.0,2012,1,1,,20.0,50.16,,3,3,,2.0,,2,2,2,2,2,2,1,700.0,1,,2,2,2,2,1733.6,1733.6,0.0,0.0,0.0,0.0,167.2,167.2,910.6,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,208.48,8,7,2
40285000,218.26515,1,1,4.0,1973,2,1,,,54.75,,3,3,,3.0,,2,2,1,3,3,3,3,725.0,2,,2,2,2,2,2932.75,2908.75,2908.75,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,24.0,0,0,0.0,0,1454.19,4,7,2
40285100,216.51394,1,1,5.0,1998,2,1,,,16.67,,2,2,,3.0,3.0,2,1,2,3,1,1,3,1000.0,2,1.0,2,2,2,2,26496.05,23569.24,21389.95,17928.07,0.0,0.0,84.83,84.83,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,2926.81,-488,0.0,4,7,2
40285400,728.70589,1,1,4.0,1999,2,1,,160.0,98.0,,1,1,,3.0,,1,1,2,1,1,1,3,700.0,2,,2,2,2,2,4211.04,3812.91,3812.91,3812.91,308.0,262.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,398.13,-112,267.32,4,7,2
40285500,172.65435,5,1,4.0,1967,1,1,,70.0,123.34,,1,1,,3.0,,2,2,2,2,1,2,2,600.0,2,,2,2,1,2,2170.32,2170.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,4,7,2
40285700,960.39362,1,1,7.0,2012,2,1,,1.0,145.00000000000003,,1,1,,3.0,3.0,2,1,1,1,1,1,3,600.0,2,1.0,2,2,2,2,40345.32,40345.32,40345.32,40345.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1670.79,4,7,2
40286100,246.34977,1,1,4.0,1974,1,1,,1.0,80.0,,1,1,,3.0,,2,1,2,2,1,1,3,600.0,2,2.0,2,2,2,2,13022.13,13022.13,10621.24,4423.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1470.7,4,7,2
40286200,132.60091,1,1,3.0,1968,2,1,,1.0,39.33,,1,1,,3.0,,1,1,2,3,3,3,4,300.0,3,,2,2,2,2,9423.29,9423.29,9423.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,4,7,2
40286500,208.10977,1,1,6.0,2000,2,1,,1.0,61.25,,1,3,,3.0,,1,2,2,3,3,3,2,200.0,2,,2,2,2,2,2669.88,2669.88,2669.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,4,7,2
40286700,305.33554,1,1,3.0,1990,2,1,,25.0,47.33,,3,3,,2.0,,1,1,2,2,2,1,1,600.0,2,,1,2,2,2,1387.46,1379.96,-7.5,-7.5,0.0,0.0,0.0,0.0,84.53,0.0,0,0,0.0,0.0,0,0.0,0.0,7.5,0,0,0.0,0,0.0,4,7,2
40286800,348.83769,1,1,5.0,1974,2,1,,50.0,134.99999999999997,,1,1,,3.0,,1,1,1,1,1,1,3,400.0,2,,2,2,2,2,9174.01,8435.98,7598.65,7598.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,738.03,-100,0.0,4,7,2
40286900,432.63522,1,1,5.0,1982,2,1,,1.0,84.16,,1,1,3.0,3.0,3.0,2,1,1,3,1,1,4,1000.0,3,,2,2,2,2,27963.87,27963.87,26289.91,23960.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1181.67,4,7,2
40287100,152.62866,1,1,6.0,2011,2,1,,100.0,97.5,,1,1,,3.0,,2,1,2,1,1,1,2,600.0,2,,2,2,2,2,13461.79,12973.5,12786.66,12786.66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,7.5,0,0,480.79,-326,1681.13,4,7,2
40287200,171.46043,1,1,4.0,1967,2,1,,,59.0,,3,3,,3.0,,2,1,2,3,3,3,3,400.0,2,,2,2,2,2,11957.85,11573.51,9093.31,5014.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,13.0,0,0,371.34,-100,242.83,4,7,2
40287600,277.6932,2,1,3.0,2011,1,1,,50.0,109.17,,1,1,,3.0,3.0,2,1,2,1,1,1,3,600.0,2,2.0,2,2,1,2,17944.4,15697.37,12109.33,10582.36,0.0,0.0,2275.27,1797.48,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,2247.03,-503,0.0,4,7,2
