HB030,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,DB090,AP,SL,M_K
108382,1,1,4,1978,2,1,,100.0,109.17,0,3,3,,3.0,,1,1,1,1,1,3,3,3,4,2000,2,,2,2,1,2,20221.98,20171.98,20171.98,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,50,0,0,0.0,0,1043.0,240.73774,1,6,1
108383,2,1,2,1968,2,1,,50.0,146.83,0,1,1,,3.0,,2,1,2,1,1,3,1,3,3,800,2,,2,2,2,2,11222.4,11222.4,11222.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,896.09125,2,7,2
108384,4,1,3,1998,2,2,,800.0,350.67,0,1,1,,3.0,,2,2,2,1,1,1,1,2,2,3000,1,,2,2,2,2,56196.39,48263.79,36309.38,26984.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,7932.6,0,0.0,199.97904,10,1,1
108385,3,1,2,1966,2,2,,200.0,178.5,0,3,3,,3.0,,2,2,2,1,1,3,3,3,2,2000,1,,2,2,2,2,24457.23,24457.23,24457.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,81.55398000000001,2,2,1
108386,4,1,2,1987,2,2,,400.0,235.33,0,1,1,,3.0,,2,1,2,1,1,3,1,3,3,2000,1,,2,1,1,2,9135.72,9135.72,9135.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,531.3113400000001,3,3,1
108387,2,1,3,1999,2,1,,,179.17,0,3,3,,3.0,,2,2,2,1,1,3,1,3,2,2000,2,,2,2,2,2,8061.24,8061.24,8061.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,95.22182,8,6,1
108388,3,1,3,1957,1,1,,1.0,140.0,0,3,3,,3.0,,2,1,2,1,1,2,3,1,3,3000,3,,2,2,2,2,59061.39,50595.57,50595.57,27087.77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,8465.82,1081,0.0,113.86856,10,1,1
108390,4,1,2,1981,2,1,,150.0,313.33,0,1,1,,3.0,,2,1,2,1,1,3,1,3,1,700,2,,1,2,2,2,10230.4,10230.4,10070.4,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,373.71019,6,4,1
108391,4,1,3,1972,2,1,,,650.0,0,1,1,,3.0,,2,1,1,1,1,3,1,1,3,2000,2,,2,2,2,2,20991.36,20991.36,20991.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,135.0506,3,3,1
108393,2,1,4,1967,2,1,,500.0,207.33,0,1,1,,3.0,,2,1,2,1,1,3,1,1,3,1500,2,,2,2,2,2,25359.79,25359.79,25359.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,806.77,252.29924,9,6,1
