HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
301889,181.14374,4,1,4.0,1962,2,1,,100.0,520.0,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1500.0,2.0,,2,2,2,2,7668.0,7668.0,7668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,9,6,1
301890,213.45342,4,1,3.0,1973,1,2,,100.0,226.67,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1100.0,1.0,,2,2,2,2,12984.04,12984.04,12984.04,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,2800,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,6,4,1
301891,274.88155,4,1,2.0,2000,2,1,,200.0,163.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1500.0,1.0,,2,2,1,2,9669.6,9669.6,9669.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,3,3,1
301892,163.58252,4,1,3.0,2004,2,1,,500.0,500.0,,1,1,,2.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1500.0,2.0,,2,1,2,2,8069.28,8069.28,8069.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,2,2,1
301893,144.04384,1,1,4.0,1972,2,1,,100.0,120.83,,1,3,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1300.0,2.0,,2,2,2,2,12207.0,12207.0,12207.0,2709.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,441.52,9,7,2
301894,53.26112,4,1,3.0,1998,2,2,,200.0,570.0,,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2000.0,2.0,,2,2,1,2,35528.67,31563.2,31563.2,20374.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,3965.47,-290,0.0,10,6,1
301895,177.6852,4,1,3.0,1978,2,1,,,280.25,,1,1,,2.0,,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1300.0,1.0,,2,2,2,2,8775.36,8775.36,8775.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,1,1
301896,145.34474,1,1,4.0,1970,2,1,,100.0,176.5,,1,3,,3.0,,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1000.0,2.0,,2,2,2,2,10176.92,10176.92,9889.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,2,7,2
301897,68.88359,1,1,2.0,1965,2,2,,50.0,246.25,,3,3,,3.0,,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1000.0,3.0,,1,1,1,2,20090.88,20072.88,20072.88,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,18,0,0,0.0,0,0.0,4,6,1
301898,177.6852,4,1,3.0,1972,2,2,,,300.0,,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1200.0,1.0,,2,2,2,2,8703.6,8703.6,8703.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,1,1
