PB030,HB030,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,RB050,AGE,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL050,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY070G,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
40607201,406072,2,,,,,,,,,,285.17239,84,4,3,2,,,0,4,2,2,2,,2,,1,2,,7,3,61,,0,0,0,0,0,12,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10037.4,0,0,0,0,0,10,7,2
40607401,406074,1,,,,,,,,,,319.47077,65,4,3,2,,1969,2,3,2,3,2,,2,,1,2,,7,3,83,,0,0,0,0,0,12,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,730.09,0,0,0,9738.24,0,0,0,0,0,10,7,2
40607402,406074,2,40607401,,,,,,,,,319.47077,23,1,3,2,,2004,2,,1,2,2,,2,,2,2,,8,,,,0,0,0,0,0,0,12,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6886.77,0,10,7,2
40607501,406075,2,,,40607502,,,,,,,137.51605,59,2,1,2,,1969,3,3,1,3,2,,2,,1,2,,10,3,74,,0,0,0,0,0,0,0,0,0,12,0,,,,,1,2,0,0,0,0,0,0,0,0,3742.8,0,0,0,0,0,0,0,0,0,10,7,2
40607502,406075,1,,,40607501,,,,,,,137.51605,60,2,1,2,,1968,3,5,1,1,2,,2,,1,2,,8,3,83,,0,0,0,0,0,0,8,0,0,4,0,,,,,1,2,0,0,0,0,0,0,366.69,366.69,0,0,0,0,0,0,0,0,390,0,10,7,2
40607601,406076,2,,,,,,,,,,179.18815,46,5,3,2,,1981,3,3,1,2,2,,2,,,,,1,3,92,36,12,0,0,0,0,0,0,0,0,0,0,5,1,,4,1,2,8782.35,7644.94,0,0,2722.53,0,0,0,284.27,0,0,0,0,0,628.24,496.31,0,0,7,7,2
40607701,406077,1,,,40607702,,,,,,,95.24275,53,2,1,2,,1972,2,3,2,3,2,,2,,1,1,1,5,3,71,,0,3,0,0,3,0,6,0,0,0,0,,,,,1,2,1784.82,1586.19,0,0,553.29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
40607702,406077,2,,,40607701,,,,,,,95.24275,52,2,1,2,,1975,2,3,2,3,2,,2,,1,2,,10,3,92,,0,0,0,0,0,0,4,0,0,8,0,,,,,1,2,0,0,0,0,0,0,0,0,1311.4,0,0,0,0,0,0,0,0,0,7,7,2
40607703,406077,1,40607701,40607702,,,,,,,,95.24275,21,1,3,2,,2002,2,2,2,3,2,,2,,1,1,1,5,3,72,,0,5,0,0,3,0,0,0,0,4,0,,,,,,2,1282.35,1000,0,0,397.53,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
40607704,406077,1,40607701,40607702,,,,,,,,95.24275,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2
40607901,406079,1,40607903,40607902,,,,,,,,90.87502,18,1,3,1,3,2007,2,2,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
40607902,406079,2,,,40607903,,,,,,,90.87502,53,2,1,2,,1978,3,,2,2,2,,2,,,,,1,3,71,40,9,1,0,0,2,0,0,0,0,0,0,,41,,12,,2,1790.66,1629.5,0,0,555.1,0,2490.1,2490.1,0,0,0,0,0,0,1208.66,954.84,0,0,7,7,2
40607903,406079,1,,,40607902,,,,,,,90.87502,57,2,1,2,,1974,2,4,1,1,2,,2,,,,,4,2,92,20,0,0,0,12,0,0,0,0,0,0,0,,43,2,2,,,5183.8,4403.26,0,0,1606.98,0,0,0,2523.78,0,0,0,0,0,0,0,6541.44,0,7,7,2
40608001,406080,1,,,40608002,,,,,,,88.57691,48,2,1,2,,1983,4,4,1,1,2,,2,,1,2,,8,3,61,,0,0,0,0,0,0,12,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,7,7,2
40608002,406080,2,,,40608001,,,,,,,88.57691,48,2,1,2,,1982,4,,1,1,2,,2,,1,2,,10,3,61,,0,0,0,0,0,0,4,0,0,8,0,,,,,1,2,0,0,0,0,0,0,4487.71,4487.71,2817.25,0,0,0,0,0,0,0,0,0,7,7,2
40608003,406080,1,40608001,40608002,,,,,,,,88.57691,16,1,3,2,,2004,1,3,2,3,2,,2,,2,2,,5,,,,0,0,0,4,8,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
40608004,406080,1,40608001,40608002,,,,,,,,88.57691,24,1,3,2,,1995,1,4,1,1,2,,2,,2,2,,5,,,,0,0,0,0,12,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
40608005,406080,1,40608001,40608002,,,,,,,,88.57691,28,1,3,2,,2005,2,,1,1,2,,2,,1,2,,5,4,61,,0,0,0,0,12,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,7,7,2
40608101,406081,1,,,,,,,,,,308.1993,28,1,3,2,,1992,1,2,2,3,2,,2,,,,,2,3,92,20,0,12,0,0,0,0,0,0,0,0,0,,1,4,2,,2,14008.86,11360.06,2400,0,4342.75,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
40608201,406082,2,,,40608202,,,,,,,942.21168,40,2,1,2,,1985,2,3,2,3,2,,2,,,,,1,3,74,40,12,0,0,0,0,0,0,0,0,0,0,,10,,13,1,2,5492.79,4515.44,0,0,1702.76,0,0,0,0,0,0,0,0,0,172.68,136.42,0,0,3,7,2
40608202,406082,1,,,40608201,,,,,,,942.21168,45,2,1,2,,1980,2,,2,3,2,,2,,,,,1,3,83,40,12,0,0,0,0,0,0,0,0,0,0,,8,,13,1,2,28196.88,21733.16,0,0,8741.03,0,0,0,3259.3,0,0,0,0,0,0,0,0,0,3,7,2
40608203,406082,1,40608202,40608201,,,,,,,,942.21168,21,1,3,2,,2007,3,,2,3,2,,2,,,,,1,3,93,40,12,0,0,0,0,0,0,0,0,0,0,,8,,13,1,2,10581.79,8380.43,0,0,3280.35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2
40608401,406084,2,40608402,40608403,,,,,,,,289.84469,21,1,3,2,,2007,5,2,2,3,2,,2,,1,2,,5,3,52,,0,0,0,0,12,0,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2
40608402,406084,1,,,40608403,,,,,,,289.84469,53,2,1,2,,1974,4,3,1,1,2,,2,,1,2,,8,3,83,,0,0,0,0,0,0,12,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353.52,0,3,7,2
40608403,406084,2,,,40608402,,,,,,,289.84469,51,2,1,2,,1976,3,2,1,2,2,,2,,,,,2,3,51,20,0,12,0,0,0,0,0,0,0,0,0,,56,2,5,1,2,4591.95,4178.67,0,0,1423.5,0,0,0,0,0,0,0,0,0,178.45,140.97,7440,0,3,7,2
40608701,406087,1,40608702,40608703,,,,,,,,277.19985,19,1,3,1,3,2008,3,2,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,2281.9,2074.53,0,0,707.39,0,0,0,0,0,0,0,0,0,0,0,0,840,7,7,2
40608702,406087,1,,,40608703,,,,,,,277.19985,43,2,1,2,,1986,3,2,2,3,2,,2,,,,,3,2,61,50,0,0,12,0,0,0,0,0,0,0,0,,1,,2,,,9600,7987.2,0,0,2976,0,42486.71,41622.71,6366.74,0,0,0,0,0,0,0,0,0,7,7,2
40608703,406087,2,,,40608702,,,,,,,277.19985,41,2,1,2,,1987,4,2,2,3,2,,2,,1,1,1,5,3,52,,0,0,0,0,0,0,0,0,0,12,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
40608704,406087,2,40608702,40608703,,,,,,,,277.19985,17,1,3,1,3,2009,2,,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7,7,2
40608705,406087,1,40608702,40608703,,,30,0,0,0,0,277.19985,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2
40608801,406088,2,,,40608802,,,,,,,160.81083,49,2,1,2,,1982,5,1,2,3,2,,2,,,,,1,3,23,12,12,0,0,0,0,0,0,0,0,0,0,8,85,5,12,1,2,33738.59,26136.12,0,0,10458.96,180,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
40608802,406088,1,,,40608801,,,,,,,160.81083,48,2,1,2,,1980,4,2,2,3,2,,2,,1,1,1,5,3,83,,0,0,0,0,12,0,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
