PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
10702601,107026,92.0754,63,1,,,,,,,,,,4.0,3.0,2.0,,1966.0,4.0,5.0,1.0,1.0,2.0,,2.0,,1.0,2.0,,8.0,3.0,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6514.84,679.25,0.0,0.0,8400.0,0.0,6,7,2
10702701,107027,275.33663,58,1,,,10702702.0,,,,,,,2.0,1.0,2.0,,1976.0,4.0,2.0,2.0,3.0,2.0,,2.0,,,,,3.0,1.0,14.0,40.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,6357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,2
10702702,107027,275.33663,43,2,,,10702701.0,,,,,,,2.0,1.0,2.0,,1988.0,4.0,3.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,52.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,2.0,1.0,2.0,4800.0,4368.22,0.0,0.0,1487.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,2
10702703,107027,275.33663,22,1,10702701.0,10702702.0,,,,,,,,1.0,3.0,1.0,5.0,2007.0,3.0,2.0,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,2
10702801,107028,107.11203,56,1,,,10702802.0,,,,,,,2.0,1.0,2.0,,1980.0,3.0,3.0,1.0,3.0,2.0,,2.0,,,,,1.0,3.0,83.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,49.0,,13.0,1.0,2.0,14400.0,12111.36,0.0,0.0,3856.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.79,212.34,0.0,0.0,3,6,1
10702802,107028,107.11203,55,2,,,10702801.0,,,,,,,2.0,1.0,2.0,,1978.0,5.0,3.0,1.0,3.0,2.0,,2.0,,,,,1.0,3.0,31.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86.0,,13.0,1.0,2.0,24701.29,19285.78,0.0,0.0,7269.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,1
10703201,107032,105.09843,49,1,,10703202.0,,,,,,,,1.0,3.0,2.0,,1990.0,5.0,3.0,2.0,3.0,2.0,,2.0,,1.0,1.0,1.0,5.0,3.0,21.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,3263.18,2928.64,0.0,0.0,1011.09,0.0,0.0,0.0,0.0,3768.65,3768.65,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10703202,107032,105.09843,73,2,,,,,,,,,,1.0,3.0,2.0,,1956.0,3.0,3.0,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,31.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9123.6,0.0,0.0,0.0,0.0,0.0,2,2,1
10703301,107033,195.16952,45,1,,,10703302.0,,,,,,,2.0,1.0,2.0,,1985.0,3.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,51.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,11.0,1.0,2.0,14027.35,12000.0,0.0,0.0,3731.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1
10703302,107033,195.16952,45,2,,,10703301.0,,,,,,,2.0,1.0,2.0,,1985.0,3.0,3.0,2.0,3.0,2.0,,2.0,,,,,3.0,1.0,14.0,40.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8845.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1
